"ident","iata_code","name","municipality","iso_country","iso_region"
"5M1","","De Witt Municipal Airport Whitcomb Field","De Witt","US","US-AR"
"5MA3","","Pasport Airport","West Brookfield","US","US-MA"
"5MD5","","Arcadia Farms Airport","Princess Anne","US","US-MD"
"5MD8","","Edelen Field","La Plata","US","US-MD"
"5MI1","","Wilds Field","Cedar Springs","US","US-MI"
"5MI7","","Williams Field","Jackson","US","US-MI"
"5MN0","","Scrabeck Airport","Stewartville","US","US-MN"
"5MN2","","Hoiland Field","Bagley","US","US-MN"
"5MN5","","Barnes Airport","Lindstrom","US","US-MN"
"5MN7","","Lindey's Landing Airport","Deerwood","US","US-MN"
"5MN9","","Chanlin Field","Middle River","US","US-MN"
"5MO","","Plattsburg Airpark","Plattsburg","US","US-MO"
"5MO1","","Irons Airport","Moberly","US","US-MO"
"5MO6","","Vansickle-Davis Airport","Hurdland","US","US-MO"
"5MO9","","Oak Ridge Farms Airport","New Boston","US","US-MO"
"5MS1","RFK","Rollang Field","Rolling Fork","US","US-MS"
"5MS2","","Turkey Bayou Airpark","Lakeshore","US","US-MS"
"5MS3","","Porter Airport","Columbia","US","US-MS"
"5MS5","","Mint Julep Airpark","Picayune","US","US-MS"
"5MS6","","Dee's Strip","Brandon","US","US-MS"
"5MS8","","Ball Airport","Okolona","US","US-MS"
"5MT5","","Unrau Airport","Wolf Point","US","US-MT"
"5MU5","","Gjerde International Airport","Drexel","US","US-MO"
"5N4","","Sky Haven Airport","Enderlin","US","US-ND"
"5N5","","Kirkwood Airpark","Kirkwood","US","US-NY"
"5N7","","Hat Field","Nunica","US","US-MI"
"5NA0","","Semchenko Airport","Max","US","US-ND"
"5NA2","","Largo Base Airport","Portland","US","US-ND"
"5NC1","","Tara Airbase Airport","Mocksville","US","US-NC"
"5NC3","","Gilliam-McConnell Airfield","Carthage","US","US-NC"
"5NC5","","The Duchy Airport","Haw River","US","US-NC"
"5ND0","","Stiehl Airport","Buford","US","US-ND"
